CaM-KIV,PhosphoELM,"('P16220', 'Q09472', 'Q92793', 'P56524', 'Q9UQL6', 'P45481', 'P13234')"
CaM-KI_alpha,PhosphoELM,"('P05783', 'Q14012', 'Q16566', 'ENSRNOP00000048410')"
CaM-KI_group,PhosphoELM,"('P09951', 'P17599', 'Q09472', 'Q13085', 'Q14012', 'Q3MUI1')"
CaM-KK_alpha,PhosphoELM,"('Q8IU85', 'P13234')"
CaMKII_drome,PhosphoELM,"('Q00168', 'Q02280')"
Caki_drome,PhosphoELM,"('P19107',)"
Chak1,PhosphoELM,"('P35579', 'Q923J1')"
CkII_beta_drome,PhosphoELM,"('P08182',)"
CkII_group_drome,PhosphoELM,"('Q03017', 'Q9NFU0', 'Q06943', 'Q08605', 'P13098', 'P02836', 'CG5330-PA')"
CkI_alpha_drome,PhosphoELM,"('P18824',)"
Csk,PhosphoELM,"('P06241', 'P07948', 'P09769', 'P12931', 'P08575', 'P25911')"
DAPK1,PhosphoELM,"('P04637', 'P53355', 'P25205', 'Q96RR4', 'Q3THE2', 'Q80YE7', 'P32851', 'Q14457')"
DAPK2,PhosphoELM,"('Q9UIK4',)"
DAPK3,PhosphoELM,"('P68431', 'P24844', 'Q00987', 'Q96A00', 'O43293', 'O54784', 'ENSGALP00000016789', 'P40429')"
DAPK_group,PhosphoELM,"('P53355', 'Q16623', 'Q96RR4')"
DCAMKL1,PhosphoELM,"('Q9JLM8',)"
DMPK_group,PhosphoELM,"('P11831',)"
DNA-PK,PhosphoELM,"('P03070', 'P04150', 'P04637', 'P05412', 'P07900', 'P11831', 'P15927', 'P78527', 'P49917', 'P10361', 'Q98TW0')"
DYRK1A,PhosphoELM,"('P49418', 'Q05193', 'Q12778', 'P37840', 'O43597')"
DYRK1B,PhosphoELM,"('P38936', 'Q9Y463', 'O75533', 'P20823', 'P25322', 'P46414')"
DYRK2,PhosphoELM,"('P04637', 'ENSP00000343690')"
DYRK3,PhosphoELM,"('P16220', 'Q922Y0')"
